,Unnamed: 0,No,year,month,day,hour,season,AQI,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
27,43851,43852,2015,1,2,3,4,184,35,52,47,45,-18,28,1029,-2,NE,4.92,0,0
28,43852,43853,2015,1,2,4,4,181,16,27,27,28,-18,30,1030,-3,NE,8.94,0,0
29,43853,43854,2015,1,2,5,4,184,8,18,12,12,-18,30,1030,-3,NE,12.07,0,0
30,43854,43855,2015,1,2,6,4,186,5,20,13,12,-18,35,1031,-5,cv,0.89,0,0
31,43855,43856,2015,1,2,7,4,188,3,20,12,16,-17,44,1031,-7,NE,1.79,0,0
32,43856,43857,2015,1,2,8,4,175,3,25,12,13,-17,41,1032,-6,NW,3.13,0,0
33,43857,43858,2015,1,2,9,4,170,8,27,18,24,-15,33,1033,-1,cv,0.89,0,0
34,43858,43859,2015,1,2,10,4,165,11,29,21,34,-18,24,1033,0,NE,3.13,0,0
35,43859,43860,2015,1,2,11,4,168,8,18,14,13,-18,21,1032,2,NE,6.26,0,0
36,43860,43861,2015,1,2,12,4,184,9,22,11,19,-19,18,1031,3,NE,10.28,0,0
37,43861,43862,2015,1,2,13,4,184,9,25,16,26,-18,17,1030,5,NE,12.07,0,0
38,43862,43863,2015,1,2,14,4,186,12,21,21,26,-19,15,1029,5,SE,1.79,0,0
39,43863,43864,2015,1,2,15,4,186,28,34,31,41,-19,15,1029,5,SE,4.92,0,0
40,43864,43865,2015,1,2,16,4,192,55,63,59,85,-18,18,1028,4,SE,8.05,0,0
43,43867,43868,2015,1,2,19,4,242,66,87,82,102,-18,22,1028,1,SE,1.79,0,0
44,43868,43869,2015,1,2,20,4,256,115,109,103,117,-17,24,1027,1,SE,4.92,0,0
45,43869,43870,2015,1,2,21,4,247,131,118,112,125,-16,33,1027,-2,SE,6.71,0,0
46,43870,43871,2015,1,2,22,4,254,143,131,121,145,-15,39,1026,-3,SE,7.6,0,0
47,43871,43872,2015,1,2,23,4,255,159,150,132,157,-15,42,1025,-4,cv,0.89,0,0
48,43872,43873,2015,1,3,0,4,154,170,171,144,163,-15,45,1024,-5,cv,1.34,0,0
49,43873,43874,2015,1,3,1,4,149,185,179,156,176,-15,48,1023,-6,SE,1.79,0,0
50,43874,43875,2015,1,3,2,4,146,205,191,165,193,-16,48,1023,-7,cv,0.89,0,0
51,43875,43876,2015,1,3,3,4,142,224,192,169,198,-15,57,1022,-8,SE,1.79,0,0
52,43876,43877,2015,1,3,4,4,158,192,198,176,214,-15,57,1021,-8,NE,0.89,0,0
53,43877,43878,2015,1,3,5,4,170,189,209,194,222,-14,57,1020,-7,NE,1.78,0,0
54,43878,43879,2015,1,3,6,4,263,203,212,195,209,-13,62,1020,-7,NW,0.89,0,0
55,43879,43880,2015,1,3,7,4,289,190,207,193,201,-13,53,1019,-5,cv,0.89,0,0
56,43880,43881,2015,1,3,8,4,306,177,190,168,179,-13,53,1019,-5,cv,1.78,0,0
57,43881,43882,2015,1,3,9,4,300,154,165,154,169,-12,53,1019,-4,NW,0.89,0,0
58,43882,43883,2015,1,3,10,4,280,136,162,136,147,-12,46,1018,-2,NE,0.89,0,0
59,43883,43884,2015,1,3,11,4,261,152,161,135,158,-12,42,1017,-1,NE,2.68,0,0
60,43884,43885,2015,1,3,12,4,262,172,176,152,170,-14,31,1016,1,cv,0.89,0,0
61,43885,43886,2015,1,3,13,4,239,180,183,153,182,-14,29,1015,2,cv,1.78,0,0
62,43886,43887,2015,1,3,14,4,228,184,185,161,172,-14,27,1014,3,cv,2.67,0,0
63,43887,43888,2015,1,3,15,4,229,172,191,169,178,-14,27,1014,3,cv,3.56,0,0
64,43888,43889,2015,1,3,16,4,222,166,196,163,193,-15,25,1014,3,SE,1.79,0,0
65,43889,43890,2015,1,3,17,4,219,222,224,184,214,-15,31,1014,0,NE,0.89,0,0
66,43890,43891,2015,1,3,18,4,220,245,246,204,241,-13,42,1014,-2,cv,0.89,0,0
67,43891,43892,2015,1,3,19,4,216,266,306,222,262,-13,49,1015,-4,cv,1.78,0,0
68,43892,43893,2015,1,3,20,4,210,286,303,249,264,-11,58,1015,-4,cv,2.67,0,0
69,43893,43894,2015,1,3,21,4,208,294,306,248,305,-12,53,1015,-4,cv,3.12,0,0
70,43894,43895,2015,1,3,22,4,200,304,347,252,290,-12,62,1015,-6,cv,4.01,0,0
71,43895,43896,2015,1,3,23,4,137,276,389,299,322,-13,62,1015,-7,NW,1.79,0,0
72,43896,43897,2015,1,4,0,4,92,269,439,321,272,-13,62,1015,-7,NW,3.58,0,0
73,43897,43898,2015,1,4,1,4,93,227,375,278,247,-13,62,1015,-7,NW,6.71,0,0
74,43898,43899,2015,1,4,2,4,79,247,321,238,241,-13,57,1015,-6,NW,9.84,0,0
75,43899,43900,2015,1,4,3,4,66,198,280,200,206,-13,57,1016,-6,NW,12.97,0,0
76,43900,43901,2015,1,4,4,4,70,145,208,167,163,-14,49,1016,-5,NW,14.76,0,0
77,43901,43902,2015,1,4,5,4,54,115,152,131,137,-14,57,1015,-7,NE,1.79,0,0
78,43902,43903,2015,1,4,6,4,34,116,143,116,144,-14,61,1015,-8,NW,4.02,0,0
79,43903,43904,2015,1,4,7,4,34,149,180,126,166,-14,53,1016,-6,NE,1.79,0,0
80,43904,43905,2015,1,4,8,4,34,126,180,130,160,-13,49,1016,-4,cv,1.79,0,0
81,43905,43906,2015,1,4,9,4,33,109,151,104,115,-12,42,1017,-1,SE,3.13,0,0
82,43906,43907,2015,1,4,10,4,32,141,115,98,106,-14,33,1018,0,SE,4.92,0,0
83,43907,43908,2015,1,4,11,4,32,95,116,94,107,-14,27,1018,3,cv,0.89,0,0
84,43908,43909,2015,1,4,12,4,31,95,127,102,112,-14,22,1017,6,NW,1.79,0,0
85,43909,43910,2015,1,4,13,4,30,101,125,102,114,-14,19,1016,8,cv,0.89,0,0
89,43913,43914,2015,1,4,17,4,29,212,238,160,225,-13,25,1016,5,SE,9.84,0,0
90,43914,43915,2015,1,4,18,4,27,286,286,284,269,-12,30,1016,4,cv,0.89,0,0
91,43915,43916,2015,1,4,19,4,25,327,301,322,305,-11,40,1016,1,NE,0.89,0,0
92,43916,43917,2015,1,4,20,4,23,345,342,344,360,-10,43,1017,1,cv,0.89,0,0
93,43917,43918,2015,1,4,21,4,32,332,304,328,279,-9,50,1018,0,NE,0.89,0,0
94,43918,43919,2015,1,4,22,4,37,251,338,312,321,-9,47,1017,1,cv,0.89,0,0
95,43919,43920,2015,1,4,23,4,47,245,332,306,250,-9,50,1017,0,cv,1.34,0,0
96,43920,43921,2015,1,5,0,4,56,188,255,253,171,-9,47,1017,1,cv,2.23,0,0
97,43921,43922,2015,1,5,1,4,69,144,228,202,146,-9,43,1017,2,cv,3.12,0,0
98,43922,43923,2015,1,5,2,4,87,148,204,170,150,-9,50,1017,0,cv,3.57,0,0
99,43923,43924,2015,1,5,3,4,108,149,189,159,142,-9,47,1016,1,cv,4.02,0,0
100,43924,43925,2015,1,5,4,4,124,130,192,151,148,-8,58,1015,-1,cv,4.91,0,0
101,43925,43926,2015,1,5,5,4,132,187,172,153,186,-8,54,1015,0,NW,0.89,0,0
102,43926,43927,2015,1,5,6,4,138,194,195,155,178,-7,63,1016,-1,cv,0.89,0,0
103,43927,43928,2015,1,5,7,4,146,169,192,170,153,-7,59,1015,0,NW,3.13,0,0
105,43929,43930,2015,1,5,9,4,130,143,235,168,185,-9,40,1016,3,NW,6.71,0,0
108,43932,43933,2015,1,5,12,4,65,26,27,38,36,-9,26,1017,9,NE,3.13,0,0
109,43933,43934,2015,1,5,13,4,54,25,18,27,22,-12,18,1017,11,NW,4.92,0,0
110,43934,43935,2015,1,5,14,4,43,16,3,16,14,-14,16,1018,10,NW,13.86,0,0
111,43935,43936,2015,1,5,15,4,38,9,3,14,15,-14,18,1019,9,NW,22.8,0,0
112,43936,43937,2015,1,5,16,4,49,10,3,16,12,-16,16,1021,8,NW,29.95,0,0
113,43937,43938,2015,1,5,17,4,54,6,3,10,9,-19,15,1023,5,NW,39.78,0,0
114,43938,43939,2015,1,5,18,4,70,5,3,10,25,-18,18,1024,4,NW,47.83,0,0
115,43939,43940,2015,1,5,19,4,64,7,7,6,29,-21,15,1026,3,NW,56.77,0,0
116,43940,43941,2015,1,5,20,4,63,6,8,3,27,-22,16,1027,1,NW,65.71,0,0
117,43941,43942,2015,1,5,21,4,65,3,4,3,23,-23,14,1028,1,NW,74.65,0,0
118,43942,43943,2015,1,5,22,4,67,5,4,3,15,-23,15,1028,0,NW,85.83,0,0
119,43943,43944,2015,1,5,23,4,72,8,3,7,16,-24,15,1029,-1,NW,93.88,0,0
120,43944,43945,2015,1,6,0,4,77,6,9,9,16,-24,20,1029,-5,NW,99.69,0,0
121,43945,43946,2015,1,6,1,4,92,6,6,11,15,-24,19,1030,-4,NW,106.84,0,0
122,43946,43947,2015,1,6,2,4,97,5,8,7,16,-23,18,1030,-2,NW,114.89,0,0
123,43947,43948,2015,1,6,3,4,103,6,8,10,20,-24,19,1030,-4,NE,1.79,0,0
124,43948,43949,2015,1,6,4,4,113,5,6,7,10,-23,22,1030,-5,NE,3.58,0,0
125,43949,43950,2015,1,6,5,4,122,6,8,12,17,-22,21,1030,-3,NW,4.92,0,0
126,43950,43951,2015,1,6,6,4,119,9,8,8,16,-23,24,1029,-6,cv,0.89,0,0
127,43951,43952,2015,1,6,7,4,104,8,13,9,22,-23,24,1029,-6,cv,1.78,0,0
128,43952,43953,2015,1,6,8,4,108,9,11,16,23,-21,23,1030,-3,NW,1.79,0,0
129,43953,43954,2015,1,6,9,4,110,10,11,17,17,-19,22,1030,0,NW,5.81,0,0
130,43954,43955,2015,1,6,10,4,119,15,13,15,23,-22,17,1029,0,NE,3.13,0,0
131,43955,43956,2015,1,6,11,4,133,10,14,15,13,-22,13,1028,3,NW,5.81,0,0
157,43981,43982,2015,1,7,13,4,35,63,61,66,59,-20,16,1030,3,SE,3.58,0,0
158,43982,43983,2015,1,7,14,4,37,61,71,73,73,-20,16,1030,3,SE,5.37,0,0
159,43983,43984,2015,1,7,15,4,30,66,72,67,74,-20,16,1030,3,cv,0.89,0,0
160,43984,43985,2015,1,7,16,4,24,73,87,81,84,-20,16,1031,3,cv,1.78,0,0
161,43985,43986,2015,1,7,17,4,19,75,107,82,94,-20,20,1031,0,SE,0.89,0,0
162,43986,43987,2015,1,7,18,4,21,65,106,72,85,-17,30,1031,-2,cv,0.45,0,0
163,43987,43988,2015,1,7,19,4,24,65,111,76,85,-15,42,1031,-4,cv,1.34,0,0
164,43988,43989,2015,1,7,20,4,27,67,119,84,107,-15,42,1032,-4,SE,0.89,0,0
165,43989,43990,2015,1,7,21,4,28,92,110,101,109,-10,58,1032,-3,SE,2.68,0,0
166,43990,43991,2015,1,7,22,4,36,75,134,99,74,-10,67,1031,-5,cv,0.89,0,0
167,43991,43992,2015,1,7,23,4,78,69,64,59,65,-13,62,1032,-7,SE,1.79,0,0
168,43992,43993,2015,1,8,0,4,175,60,74,70,78,-10,67,1032,-5,cv,0.89,0,0
169,43993,43994,2015,1,8,1,4,250,67,78,70,66,-10,67,1032,-5,SE,0.89,0,0
170,43994,43995,2015,1,8,2,4,269,86,77,79,86,-11,73,1032,-7,NE,0.89,0,0
171,43995,43996,2015,1,8,3,4,270,104,97,100,132,-10,67,1032,-5,NE,2.68,0,0
172,43996,43997,2015,1,8,4,4,251,135,170,168,203,-11,67,1031,-6,cv,0.89,0,0
173,43997,43998,2015,1,8,5,4,244,156,208,210,197,-11,67,1031,-6,cv,1.78,0,0
174,43998,43999,2015,1,8,6,4,252,161,200,185,151,-12,72,1031,-8,NW,3.13,0,0
175,43999,44000,2015,1,8,7,4,244,147,188,160,143,-14,78,1032,-11,NE,1.79,0,0
176,44000,44001,2015,1,8,8,4,220,96,178,165,122,-14,61,1032,-8,NW,1.79,0,0
177,44001,44002,2015,1,8,9,4,200,91,152,122,106,-12,57,1032,-5,NW,3.58,0,0
178,44002,44003,2015,1,8,10,4,188,78,90,96,84,-12,46,1031,-2,NW,5.37,0,0
179,44003,44004,2015,1,8,11,4,192,84,99,96,91,-13,34,1031,1,NW,7.16,0,0
180,44004,44005,2015,1,8,12,4,199,90,103,109,105,-13,34,1029,1,NW,8.95,0,0
181,44005,44006,2015,1,8,13,4,206,128,130,124,124,-13,29,1028,3,cv,0.89,0,0
182,44006,44007,2015,1,8,14,4,204,150,193,201,178,-14,23,1027,5,cv,2.68,0,0
183,44007,44008,2015,1,8,15,4,185,140,179,161,140,-11,30,1027,5,SE,3.13,0,0
184,44008,44009,2015,1,8,16,4,161,168,149,175,166,-10,32,1027,5,SE,4.92,0,0
185,44009,44010,2015,1,8,17,4,137,182,165,181,159,-11,37,1027,2,cv,0.89,0,0
186,44010,44011,2015,1,8,18,4,100,193,169,185,165,-10,46,1027,0,cv,1.78,0,0
187,44011,44012,2015,1,8,19,4,96,188,245,189,210,-10,58,1028,-3,NE,1.79,0,0
188,44012,44013,2015,1,8,20,4,99,199,403,327,358,-10,58,1028,-3,cv,0.89,0,0
189,44013,44014,2015,1,8,21,4,119,292,408,383,359,-12,57,1028,-5,cv,1.78,0,0
190,44014,44015,2015,1,8,22,4,184,335,399,379,356,-12,57,1028,-5,NW,1.79,0,0
191,44015,44016,2015,1,8,23,4,228,282,381,367,259,-11,62,1028,-5,NW,2.68,0,0
192,44016,44017,2015,1,9,0,4,232,222,409,309,226,-12,62,1029,-6,NW,5.81,0,0
193,44017,44018,2015,1,9,1,4,214,203,313,245,294,-11,58,1029,-4,NW,8.94,0,0
194,44018,44019,2015,1,9,2,4,160,190,282,252,250,-11,62,1029,-5,NW,10.73,0,0
195,44019,44020,2015,1,9,3,4,77,126,272,251,215,-12,67,1029,-7,NW,13.86,0,0
196,44020,44021,2015,1,9,4,4,52,57,169,127,55,-11,58,1029,-4,NW,17.88,0,0
197,44021,44022,2015,1,9,5,4,35,30,50,36,40,-12,57,1029,-5,NW,18.77,0,0
198,44022,44023,2015,1,9,6,4,25,9,78,26,16,-14,57,1029,-7,NE,1.79,0,0
199,44023,44024,2015,1,9,7,4,18,6,38,10,11,-13,49,1030,-4,NW,4.02,0,0
200,44024,44025,2015,1,9,8,4,20,8,4,12,12,-14,45,1030,-4,NW,7.15,0,0
201,44025,44026,2015,1,9,9,4,25,10,3,13,16,-13,39,1031,-1,NW,12.07,0,0
202,44026,44027,2015,1,9,10,4,22,10,5,13,16,-16,24,1032,2,NW,15.2,0,0
203,44027,44028,2015,1,9,11,4,32,8,3,12,13,-17,18,1031,5,NW,18.33,0,0
204,44028,44029,2015,1,9,12,4,27,7,3,12,11,-18,17,1030,5,NW,27.27,0,0
205,44029,44030,2015,1,9,13,4,26,7,3,7,14,-18,15,1029,6,NW,34.42,0,0
206,44030,44031,2015,1,9,14,4,27,7,3,10,10,-18,14,1028,7,NW,41.57,0,0
207,44031,44032,2015,1,9,15,4,29,7,3,11,13,-18,14,1028,7,NW,47.38,0,0
208,44032,44033,2015,1,9,16,4,32,7,3,12,21,-17,16,1028,7,NW,53.19,0,0
209,44033,44034,2015,1,9,17,4,39,5,7,13,22,-17,17,1028,6,NW,58.11,0,0
210,44034,44035,2015,1,9,18,4,46,61,22,28,43,-17,16,1028,7,NW,61.24,0,0
211,44035,44036,2015,1,9,19,4,59,119,82,102,101,-16,24,1028,2,cv,0.89,0,0
212,44036,44037,2015,1,9,20,4,76,162,128,143,163,-14,36,1027,-1,cv,1.34,0,0
213,44037,44038,2015,1,9,21,4,98,273,260,276,260,-14,45,1027,-4,cv,2.23,0,0
214,44038,44039,2015,1,9,22,4,116,289,291,298,283,-13,53,1027,-5,cv,2.68,0,0
215,44039,44040,2015,1,9,23,4,126,310,316,326,290,-13,49,1026,-4,cv,3.57,0,0
216,44040,44041,2015,1,10,0,4,136,281,281,295,247,-14,49,1026,-5,NW,1.79,0,0
217,44041,44042,2015,1,10,1,4,153,295,260,280,270,-14,57,1026,-7,cv,0.89,0,0
218,44042,44043,2015,1,10,2,4,163,320,276,305,291,-13,57,1025,-6,NW,0.89,0,0
219,44043,44044,2015,1,10,3,4,127,323,285,311,227,-14,53,1025,-6,NW,1.78,0,0
220,44044,44045,2015,1,10,4,4,125,306,204,251,209,-14,61,1024,-8,NW,3.57,0,0
221,44045,44046,2015,1,10,5,4,128,264,173,170,174,-15,61,1024,-9,cv,0.89,0,0
222,44046,44047,2015,1,10,6,4,133,237,178,172,166,-14,57,1023,-7,cv,1.78,0,0
223,44047,44048,2015,1,10,7,4,133,218,208,198,182,-14,67,1023,-9,cv,2.67,0,0
224,44048,44049,2015,1,10,8,4,135,195,202,194,193,-14,61,1023,-8,cv,3.56,0,0
225,44049,44050,2015,1,10,9,4,141,192,219,204,258,-12,53,1024,-4,SE,0.89,0,0
226,44050,44051,2015,1,10,10,4,149,200,198,223,230,-12,39,1023,0,cv,0.89,0,0
227,44051,44052,2015,1,10,11,4,150,116,241,213,197,-14,27,1022,3,cv,1.78,0,0
228,44052,44053,2015,1,10,12,4,168,130,253,250,185,-13,19,1021,9,cv,3.57,0,0
229,44053,44054,2015,1,10,13,4,186,197,126,128,156,-14,14,1019,12,NW,4.02,0,0
230,44054,44055,2015,1,10,14,4,179,74,150,176,137,-16,11,1019,13,NW,11.17,0,0
231,44055,44056,2015,1,10,15,4,157,82,139,114,75,-16,12,1019,12,NW,20.11,0,0
232,44056,44057,2015,1,10,16,4,153,103,150,82,92,-15,13,1019,12,NW,28.16,0,0
233,44057,44058,2015,1,10,17,4,135,89,81,91,82,-17,12,1020,11,NW,33.97,0,0
234,44058,44059,2015,1,10,18,4,137,177,105,136,162,-16,13,1020,11,SE,4.02,0,0
235,44059,44060,2015,1,10,19,4,142,226,168,203,212,-16,15,1021,9,NW,3.13,0,0
236,44060,44061,2015,1,10,20,4,220,265,211,229,233,-15,27,1022,2,cv,0.89,0,0
237,44061,44062,2015,1,10,21,4,219,246,228,230,232,-14,39,1022,-2,NW,1.79,0,0
238,44062,44063,2015,1,10,22,4,214,114,161,119,57,-15,20,1024,6,NE,4.92,0,0
239,44063,44064,2015,1,10,23,4,219,25,74,56,23,-16,18,1025,6,NE,9.84,0,0
240,44064,44065,2015,1,11,0,4,219,5,20,15,7,-15,21,1026,5,NE,14.76,0,0
241,44065,44066,2015,1,11,1,4,215,3,11,7,6,-14,25,1027,4,NE,20.57,0,0
242,44066,44067,2015,1,11,2,4,207,3,6,6,7,-14,27,1028,3,NE,26.38,0,0
243,44067,44068,2015,1,11,3,4,198,3,6,7,9,-15,25,1029,3,NE,31.3,0,0
244,44068,44069,2015,1,11,4,4,184,4,7,7,12,-17,22,1029,2,NE,36.22,0,0
245,44069,44070,2015,1,11,5,4,170,3,5,6,9,-17,24,1030,1,NE,40.24,0,0
246,44070,44071,2015,1,11,6,4,163,3,4,6,6,-17,24,1031,1,NE,44.26,0,0
247,44071,44072,2015,1,11,7,4,161,3,9,3,9,-17,24,1032,1,NE,49.18,0,0
248,44072,44073,2015,1,11,8,4,164,3,8,5,16,-17,24,1033,1,NE,52.31,0,0
249,44073,44074,2015,1,11,9,4,182,3,13,8,13,-17,22,1034,2,cv,0.89,0,0
250,44074,44075,2015,1,11,10,4,175,8,10,12,8,-17,19,1035,4,cv,1.78,0,0
251,44075,44076,2015,1,11,11,4,172,6,11,8,8,-16,21,1035,4,cv,2.67,0,0
252,44076,44077,2015,1,11,12,4,181,12,14,19,14,-17,18,1034,5,cv,4.46,0,0
253,44077,44078,2015,1,11,13,4,186,21,22,21,22,-16,20,1033,5,cv,5.35,0,0
254,44078,44079,2015,1,11,14,4,199,23,30,30,28,-16,18,1033,6,cv,7.14,0,0
255,44079,44080,2015,1,11,15,4,208,21,32,30,31,-16,18,1033,6,cv,8.93,0,0
256,44080,44081,2015,1,11,16,4,218,37,33,32,28,-15,20,1033,6,cv,9.82,0,0
257,44081,44082,2015,1,11,17,4,232,64,40,47,62,-16,20,1033,5,SE,3.13,0,0
258,44082,44083,2015,1,11,18,4,242,86,78,82,81,-14,27,1034,3,SE,4.02,0,0
259,44083,44084,2015,1,11,19,4,251,101,89,84,90,-14,31,1035,1,cv,0.89,0,0
260,44084,44085,2015,1,11,20,4,255,99,87,91,89,-9,43,1035,2,SE,1.79,0,0
261,44085,44086,2015,1,11,21,4,264,90,92,94,89,-8,44,1036,3,SE,4.92,0,0
262,44086,44087,2015,1,11,22,4,272,105,100,99,105,-11,53,1036,-3,SE,5.81,0,0
263,44087,44088,2015,1,11,23,4,268,104,89,86,84,-8,58,1037,-1,SE,8.94,0,0
264,44088,44089,2015,1,12,0,4,263,67,72,69,60,-9,58,1037,-2,SE,10.73,0,0
265,44089,44090,2015,1,12,1,4,258,64,58,59,57,-9,63,1037,-3,SE,12.52,0,0
266,44090,44091,2015,1,12,2,4,244,80,53,69,77,-10,67,1037,-5,SE,14.31,0,0
267,44091,44092,2015,1,12,3,4,222,84,57,68,82,-10,62,1037,-4,SE,16.1,0,0
268,44092,44093,2015,1,12,4,4,215,86,67,83,82,-9,73,1037,-5,SE,17.89,0,0
269,44093,44094,2015,1,12,5,4,215,87,86,88,95,-9,68,1037,-4,SE,19.68,0,0
270,44094,44095,2015,1,12,6,4,216,97,108,99,103,-10,73,1038,-6,SE,20.57,0,0
271,44095,44096,2015,1,12,7,4,220,102,120,110,115,-9,79,1038,-6,SE,22.36,0,0
272,44096,44097,2015,1,12,8,4,230,105,122,109,110,-11,73,1038,-7,SE,23.25,0,0
273,44097,44098,2015,1,12,9,4,257,115,124,115,120,-8,73,1039,-4,NE,1.79,0,0
274,44098,44099,2015,1,12,10,4,262,135,145,137,144,-7,63,1040,-1,SE,1.79,0,0
275,44099,44100,2015,1,12,11,4,284,146,162,155,148,-7,59,1039,0,SE,3.58,0,0
276,44100,44101,2015,1,12,12,4,288,124,116,114,114,-7,55,1038,1,SE,6.71,0,0
277,44101,44102,2015,1,12,13,4,282,94,104,93,94,-9,40,1037,3,SE,8.5,0,0
279,44103,44104,2015,1,12,15,4,282,72,45,83,86,-12,30,1035,4,SE,3.13,0,0
280,44104,44105,2015,1,12,16,4,289,60,76,74,74,-13,29,1035,3,SE,4.92,0,0
281,44105,44106,2015,1,12,17,4,306,59,76,64,69,-13,34,1035,1,cv,0.89,0,0
282,44106,44107,2015,1,12,18,4,309,62,65,59,66,-12,42,1035,-1,SE,0.89,0,0
283,44107,44108,2015,1,12,19,4,308,66,75,69,109,-12,46,1036,-2,SE,2.68,0,0
284,44108,44109,2015,1,12,20,4,317,142,164,131,206,-13,53,1036,-5,NE,0.89,0,0
285,44109,44110,2015,1,12,21,4,325,188,240,206,200,-10,62,1036,-4,NE,1.78,0,0
286,44110,44111,2015,1,12,22,4,321,129,205,175,162,-10,62,1035,-4,SE,0.89,0,0
287,44111,44112,2015,1,12,23,4,313,108,192,162,161,-11,67,1035,-6,NE,0.89,0,0
288,44112,44113,2015,1,13,0,4,323,97,207,165,156,-10,62,1034,-4,SE,0.89,0,0
289,44113,44114,2015,1,13,1,4,306,120,210,156,204,-9,68,1034,-4,SE,1.78,0,0
290,44114,44115,2015,1,13,2,4,298,208,194,194,179,-9,73,1034,-5,NE,0.89,0,0
291,44115,44116,2015,1,13,3,4,297,183,194,174,166,-9,73,1034,-5,cv,0.45,0,0
292,44116,44117,2015,1,13,4,4,281,168,165,160,128,-9,85,1033,-7,cv,0.9,0,0
293,44117,44118,2015,1,13,5,4,281,130,163,147,136,-10,73,1033,-6,cv,1.79,0,0
294,44118,44119,2015,1,13,6,4,353,110,156,142,150,-10,73,1033,-6,NW,1.79,0,0
295,44119,44120,2015,1,13,7,4,312,127,172,141,157,-11,67,1033,-6,NW,2.68,0,0
296,44120,44121,2015,1,13,8,4,333,126,197,158,152,-11,67,1034,-6,NW,4.47,0,0
297,44121,44122,2015,1,13,9,4,402,117,192,169,149,-10,67,1034,-5,NW,6.26,0,0
298,44122,44123,2015,1,13,10,4,431,111,145,131,135,-8,63,1034,-2,cv,0.89,0,0
299,44123,44124,2015,1,13,11,4,425,115,148,136,130,-5,74,1033,-1,SE,1.79,0,0
300,44124,44125,2015,1,13,12,4,423,128,153,133,132,-6,59,1032,1,cv,1.79,0,0
301,44125,44126,2015,1,13,13,4,427,144,165,154,159,-7,55,1031,1,NE,1.79,0,0
302,44126,44127,2015,1,13,14,4,434,166,197,181,183,-7,51,1030,2,SE,1.79,0,0
303,44127,44128,2015,1,13,15,4,455,189,212,204,202,-7,47,1030,3,SE,3.58,0,0
304,44128,44129,2015,1,13,16,4,460,189,203,187,190,-7,51,1030,2,cv,0.89,0,0
305,44129,44130,2015,1,13,17,4,460,190,210,190,201,-7,55,1030,1,SE,0.89,0,0
306,44130,44131,2015,1,13,18,4,458,217,281,221,234,-6,68,1031,-1,cv,0.45,0,0
